Symbol,Name,Sector
060310,3S,의료·정밀기기
054620,APS,금융
265520,AP시스템,기계·장비
211270,AP위성,운송장비·부품
109960,AP헬스케어,유통
139050,BF랩스,IT 서비스
126600,BGF에코머티리얼즈,화학
013720,CBI,운송장비·부품
083790,CG인바이츠,일반서비스
035760,CJ ENM,오락·문화
311690,CJ 바이오사이언스,일반서비스
051500,CJ프레시웨이,유통
058820,CMG제약,제약
023460,CNH,금융
056730,CNT85,건설
065770,CS,전기·전자
083660,CSA 코스믹,화학
456440,DB금융스팩11호,금융
477760,DB금융스팩12호,금융
099520,DGI,전기·전자
060900,DGP,전기·가스·수도
290120,DH오토리드,운송장비·부품
025440,DH오토웨어,전기·전자
068790,DMS,기계·장비
241520,DSC인베스트먼트,금융
180400,DXVX,일반서비스
245620,EDGC,일반서비스
037370,EG,화학
050120,ES큐브,유통
214270,FSN,IT 서비스
130500,GH신소재,섬유·의류
900290,GRT,금융
083450,GST,기계·장비
297890,HB솔루션,기계·장비
440290,HB인베스트먼트,금융
078150,HB테크놀러지,기계·장비
195940,HK이노엔,제약
028300,HLB,제약
278650,HLB바이오스텝,일반서비스
067630,HLB생명과학,제약
024850,HLB이노베이션,전기·전자
187420,HLB제넥스,제약
047920,HLB제약,일반서비스
115450,HLB테라퓨틱스,유통
046210,HLB파나진,제약
403870,HPSP,기계·장비
036640,HRS,화학
439730,IBKS제20호스팩,금융
442770,IBKS제21호스팩,금융
448760,IBKS제22호스팩,금융
467930,IBKS제23호스팩,금융
469480,IBKS제24호스팩,금융
095340,ISC,유통
950170,JTC,유통
067290,JW신약,제약
035900,JYP Ent.,오락·문화
318000,KBG,화학
024840,KBI메탈,금속
024120,KB오토시스,운송장비·부품
455250,KB제25호스팩,금융
458320,KB제26호스팩,금융
464680,KB제27호스팩,금융
476470,KB제28호스팩,금융
478390,KB제29호스팩,금융
486630,KB제30호스팩,금융
492220,KB제31호스팩,금융
021320,KCC건설,건설
036670,KCI,화학
044180,KD,건설
046440,KG모빌리언스,IT 서비스
151860,KG에코솔루션,화학
035600,KG이니시스,IT 서비스
226360,KH 건설,건설
111870,KH 미래물산,전기·전자
060720,KH바텍,전기·전자
058400,KNN,오락·문화
101000,KS인더스트리,기계·장비
122450,KX,오락·문화
052900,KX하이텍,화학
061970,LB세미콘,전기·전자
309960,LB인베스트먼트,금융
225190,LK삼양,의료·정밀기기
060370,LS마린솔루션,건설
417200,LS머트리얼즈,전기·전자
078020,LS증권,금융
476080,M83,오락·문화
086960,MDS테크,IT 서비스
038340,MIT,전기·전자
160550,NEW,오락·문화
053290,NE능률,오락·문화
060250,NHN KCP,금융
104200,NHN벅스,IT 서비스
222160,NPX,기계·장비
