Symbol,Name,Sector
095570,AJ네트웍스,일반서비스
006840,AK홀딩스,기타금융
027410,BGF,기타금융
282330,BGF리테일,유통
138930,BNK금융지주,기타금융
001460,BYC,섬유·의류
001465,BYC우,섬유·의류
001040,CJ,기타금융
079160,CJ CGV,오락·문화
00104K,CJ4우(전환),기타금융
000120,CJ대한통운,운송·창고
011150,CJ씨푸드,음식료·담배
011155,CJ씨푸드1우,음식료·담배
001045,CJ우,기타금융
097950,CJ제일제당,음식료·담배
097955,CJ제일제당 우,음식료·담배
000480,CR홀딩스,비금속
000590,CS홀딩스,기타금융
012030,DB,IT 서비스
016610,DB금융투자,증권
005830,DB손해보험,보험
000990,DB하이텍,전기·전자
139130,DGB금융지주,기타금융
000300,DH오토넥스,전기·전자
001530,DI동일,유통
000210,DL,화학
000215,DL우,화학
375500,DL이앤씨,건설
37550L,DL이앤씨2우(전환),건설
37550K,DL이앤씨우,건설
007340,DN오토모티브,전기·전자
004840,DRB동일,화학
155660,DSR,금속
069730,DSR제강,금속
017860,DS단석,화학
017940,E1,유통
365550,ESR켄달스퀘어리츠,부동산
383220,F&F,섬유·의류
007700,F&F홀딩스,기타금융
114090,GKL,오락·문화
078930,GS,기타금융
006360,GS건설,건설
001250,GS글로벌,유통
007070,GS리테일,유통
078935,GS우,기타금융
499790,GS피앤엘,기타금융
012630,HDC,기타금융
039570,HDC랩스,건설
089470,HDC현대EP,화학
294870,HDC현대산업개발,건설
009540,HD한국조선해양,기타금융
267250,HD현대,기타금융
267270,HD현대건설기계,기계·장비
443060,HD현대마린솔루션,일반서비스
071970,HD현대마린엔진,기계·장비
010620,HD현대미포,운송장비·부품
322000,HD현대에너지솔루션,전기·전자
042670,HD현대인프라코어,기계·장비
267260,HD현대일렉트릭,전기·전자
329180,HD현대중공업,운송장비·부품
097230,HJ중공업,건설
014790,HL D&I,건설
003580,HLB글로벌,유통
204320,HL만도,운송장비·부품
060980,HL홀딩스,기타금융
011200,HMM,운송·창고
035000,HS애드,일반서비스
002460,HS화성,건설
487570,HS효성,기타금융
298050,HS효성첨단소재,화학
003560,IHQ,오락·문화
175330,JB금융지주,기타금융
234080,JW생명과학,제약
001060,JW중외제약,제약
001067,JW중외제약2우B,제약
001065,JW중외제약우,제약
096760,JW홀딩스,기타금융
105560,KB금융,기타금융
415640,KB발해인프라,기타금융
432320,KB스타리츠,부동산
002380,KCC,화학
344820,KCC글라스,비금속
009070,KCTC,운송·창고
009440,KC그린홀딩스,기타금융
119650,KC코트렐,기계·장비
092220,KEC,전기·전자
003620,KG모빌리티,운송장비·부품
016380,KG스틸,금속
001390,KG케미칼,화학
033180,KH 필룩스,전기·전자
015590,KIB플러그에너지,기계·장비
001940,KISCO홀딩스,금속
025000,KPX케미칼,화학
092230,KPX홀딩스,화학
000040,KR모터스,운송장비·부품
044450,KSS해운,운송·창고
030200,KT,통신
033780,KT&G,음식료·담배
058850,KTcs,IT 서비스
058860,KTis,IT 서비스
093050,LF,섬유·의류
003550,LG,기타금융
034220,LG디스플레이,전기·전자
051900,LG생활건강,화학
051905,LG생활건강우,화학
064400,LG씨엔에스,IT 서비스
373220,LG에너지솔루션,전기·전자
003555,LG우,기타금융
