index,"[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)","[D210000] 재무상태표, 유동/비유동법 - 연결 | Statement of financial position, current/non-current - Consolidated financial statements (Unit: KRW)",20241231,20231231,20221231,20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,class4,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CurrentAssets,유동자산,Current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,,,227062266000000.0,195936557000000.0,218470581000000.0,218163185000000.0
1,ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,현금및현금성자산,,53705579000000.0,69080893000000.0,49680710000000.0,39031415000000.0
2,ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term financial instruments,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기금융상품,,58909334000000.0,22690924000000.0,65102886000000.0,81708986000000.0
3,ifrs-full_CurrentFinancialAssetsAtAmortisedCost,단기상각후원가금융자산,Short-term financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기상각후원가금융자산,,0.0,608281000000.0,414610000000.0,3369034000000.0
4,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,단기당기손익-공정가치금융자산,Short-term financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,단기당기손익-공정가치금융자산,,36877000000.0,27112000000.0,29080000000.0,40757000000.0
5,ifrs-full_CurrentTradeReceivables,매출채권,Trade receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,매출채권,,43623073000000.0,36647393000000.0,35721563000000.0,40713415000000.0
6,dart_ShortTermOtherReceivablesNet,미수금,Non-trade receivables,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,미수금,,9622974000000.0,6633248000000.0,6149209000000.0,4497257000000.0
7,ifrs-full_CurrentPrepaidExpenses,선급비용,Prepaid expenses,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,선급비용,,3362824000000.0,3366130000000.0,2867823000000.0,2336252000000.0
8,ifrs-full_Inventories,재고자산,Inventories,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,재고자산,,51754865000000.0,51625874000000.0,52187866000000.0,41384404000000.0
9,ifrs-full_OtherCurrentAssets,기타유동자산,Other current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,기타유동자산,,6046740000000.0,5038838000000.0,6316834000000.0,5081665000000.0
10,ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정분류자산,Assets held for sale,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],유동자산,매각예정분류자산,,0.0,217864000000.0,0.0,0.0
11,ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,,,287469682000000.0,259969423000000.0,229953926000000.0,208457973000000.0
12,ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,Financial assets at fair value through other comprehensive income,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타포괄손익-공정가치금융자산,,10580932000000.0,7481297000000.0,11397012000000.0,13965839000000.0
13,ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치금융자산,Financial assets at fair value through profit or loss,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,당기손익-공정가치금융자산,,1175749000000.0,1431394000000.0,1405468000000.0,1525344000000.0
14,ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업 및 공동기업 투자,Investments in associates and joint ventures,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,관계기업 및 공동기업 투자,,12592117000000.0,11767444000000.0,10893869000000.0,8932251000000.0
15,ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,유형자산,,205945209000000.0,187256262000000.0,168045388000000.0,149928539000000.0
16,ifrs-full_IntangibleAssetsAndGoodwill,무형자산,Intangible assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,무형자산,,23738566000000.0,22741862000000.0,20217754000000.0,20236244000000.0
17,ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,순확정급여자산,Net defined benefit assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,순확정급여자산,,3089571000000.0,4905219000000.0,5851972000000.0,2809590000000.0
18,ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred income tax assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,이연법인세자산,,14236468000000.0,10211797000000.0,5101318000000.0,4261214000000.0
19,ifrs-full_OtherNoncurrentAssets,기타비유동자산,Other non-current assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],비유동자산,기타비유동자산,,16111070000000.0,14174148000000.0,7041145000000.0,6798952000000.0
20,ifrs-full_Assets,자산총계,Total assets,ifrs-full:StatementOfFinancialPositionAbstract,자산 [개요],자산총계,,,514531948000000.0,455905980000000.0,448424507000000.0,426621158000000.0
21,ifrs-full_CurrentLiabilities,유동부채,Current liabilities,ifrs-full:StatementOfFinancialPositionAbstract,부채 [개요],유동부채,,,93326299000000.0,75719452000000.0,78344852000000.0,88117133000000.0
