concept_id,label_ko,label_en,report_date,value
concept_id,label_ko,label_en,20241231,"('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,20241231,227062266000000.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,20241231,53705579000000.0
ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term financial instruments,20241231,58909334000000.0
ifrs-full_CurrentFinancialAssetsAtAmortisedCost,단기상각후원가금융자산,Short-term financial assets at fair value through profit or loss,20241231,0.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,단기당기손익-공정가치금융자산,Short-term financial assets at fair value through profit or loss,20241231,36877000000.0
ifrs-full_CurrentTradeReceivables,매출채권,Trade receivables,20241231,43623073000000.0
dart_ShortTermOtherReceivablesNet,미수금,Non-trade receivables,20241231,9622974000000.0
ifrs-full_CurrentPrepaidExpenses,선급비용,Prepaid expenses,20241231,3362824000000.0
ifrs-full_Inventories,재고자산,Inventories,20241231,51754865000000.0
ifrs-full_OtherCurrentAssets,기타유동자산,Other current assets,20241231,6046740000000.0
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정분류자산,Assets held for sale,20241231,0.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,20241231,287469682000000.0
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,Financial assets at fair value through other comprehensive income,20241231,10580932000000.0
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치금융자산,Financial assets at fair value through profit or loss,20241231,1175749000000.0
ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업 및 공동기업 투자,Investments in associates and joint ventures,20241231,12592117000000.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",20241231,205945209000000.0
ifrs-full_IntangibleAssetsAndGoodwill,무형자산,Intangible assets,20241231,23738566000000.0
ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,순확정급여자산,Net defined benefit assets,20241231,3089571000000.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred income tax assets,20241231,14236468000000.0
ifrs-full_OtherNoncurrentAssets,기타비유동자산,Other non-current assets,20241231,16111070000000.0
ifrs-full_Assets,자산총계,Total assets,20241231,514531948000000.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,20241231,93326299000000.0
ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers,매입채무,Trade payables,20241231,12370177000000.0
entity00126380_CurrentLoansReceivedOfCurrentLiabilities,단기차입금,Current loans received,20241231,13172504000000.0
ifrs-full_OtherCurrentPayables,미지급금,Other payables,20241231,18547365000000.0
ifrs-full_CurrentAdvances,선수금,Advances received,20241231,1841420000000.0
dart_ShortTermWithholdings,예수금,Withholdings,20241231,991812000000.0
ifrs-full_AccrualsClassifiedAsCurrent,미지급비용,Accrued expenses,20241231,29613258000000.0
ifrs-full_CurrentTaxLiabilities,당기법인세부채,Current income tax liabilities,20241231,4340171000000.0
ifrs-full_CurrentPortionOfLongtermBorrowings,유동성장기부채,Current portion of long-term liabilities,20241231,2207290000000.0
ifrs-full_CurrentProvisions,충당부채,Provisions,20241231,8216469000000.0
ifrs-full_OtherCurrentLiabilities,기타유동부채,Other current liabilities,20241231,2025833000000.0
ifrs-full_LiabilitiesIncludedInDisposalGroupsClassifiedAsHeldForSale,매각예정분류부채,Liabilities held-for-sale,20241231,0.0
ifrs-full_NoncurrentLiabilities,비유동부채,Non-current liabilities,20241231,19013579000000.0
ifrs-full_NoncurrentPortionOfNoncurrentBondsIssued,사채,Debentures,20241231,14530000000.0
ifrs-full_NoncurrentPortionOfNoncurrentLoansReceived,장기차입금,Long-term borrowings,20241231,3935860000000.0
ifrs-full_OtherNoncurrentPayables,장기미지급금,Long-term other payables,20241231,5510455000000.0
ifrs-full_NoncurrentRecognisedLiabilitiesDefinedBenefitPlan,순확정급여부채,Net defined benefit liabilities,20241231,521410000000.0
ifrs-full_DeferredTaxLiabilities,이연법인세부채,Deferred income tax liabilities,20241231,528231000000.0
ifrs-full_NoncurrentProvisions,장기충당부채,Long-term provisions,20241231,3120044000000.0
ifrs-full_OtherNoncurrentLiabilities,기타비유동부채,Other non-current liabilities,20241231,5383049000000.0
ifrs-full_Liabilities,부채총계,Total liabilities,20241231,112339878000000.0
ifrs-full_EquityAttributableToOwnersOfParent,지배기업 소유주지분,Equity attributable to owners of parent company,20241231,391687603000000.0
ifrs-full_IssuedCapital,자본금,Issued capital,20241231,897514000000.0
dart_IssuedCapitalOfPreferredStock,우선주자본금,Preference shares,20241231,119467000000.0
dart_IssuedCapitalOfCommonStock,보통주자본금,Ordinary shares,20241231,778047000000.0
ifrs-full_SharePremium,주식발행초과금,Share premium,20241231,4403893000000.0
ifrs-full_RetainedEarnings,이익잉여금,Retained earnings,20241231,370513188000000.0
dart_ElementsOfOtherStockholdersEquity,기타자본항목,Other components of equity,20241231,15873008000000.0
ifrs-full_NoncontrollingInterests,비지배지분,Non-controlling interests,20241231,10504467000000.0
ifrs-full_Equity,자본총계,Total equity,20241231,402192070000000.0
ifrs-full_EquityAndLiabilities,부채와자본총계,Equity and liabilities,20241231,514531948000000.0
concept_id,label_ko,label_en,20231231,"('연결재무제표',)"
ifrs-full_CurrentAssets,유동자산,Current assets,20231231,195936557000000.0
ifrs-full_CashAndCashEquivalents,현금및현금성자산,Cash and cash equivalents,20231231,69080893000000.0
ifrs-full_ShorttermDepositsNotClassifiedAsCashEquivalents,단기금융상품,Short-term financial instruments,20231231,22690924000000.0
ifrs-full_CurrentFinancialAssetsAtAmortisedCost,단기상각후원가금융자산,Short-term financial assets at fair value through profit or loss,20231231,608281000000.0
ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss,단기당기손익-공정가치금융자산,Short-term financial assets at fair value through profit or loss,20231231,27112000000.0
ifrs-full_CurrentTradeReceivables,매출채권,Trade receivables,20231231,36647393000000.0
dart_ShortTermOtherReceivablesNet,미수금,Non-trade receivables,20231231,6633248000000.0
ifrs-full_CurrentPrepaidExpenses,선급비용,Prepaid expenses,20231231,3366130000000.0
ifrs-full_Inventories,재고자산,Inventories,20231231,51625874000000.0
ifrs-full_OtherCurrentAssets,기타유동자산,Other current assets,20231231,5038838000000.0
ifrs-full_NoncurrentAssetsOrDisposalGroupsClassifiedAsHeldForSaleOrAsHeldForDistributionToOwners,매각예정분류자산,Assets held for sale,20231231,217864000000.0
ifrs-full_NoncurrentAssets,비유동자산,Non-current assets,20231231,259969423000000.0
ifrs-full_NoncurrentFinancialAssetsMeasuredAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산,Financial assets at fair value through other comprehensive income,20231231,7481297000000.0
ifrs-full_NoncurrentFinancialAssetsAtFairValueThroughProfitOrLoss,당기손익-공정가치금융자산,Financial assets at fair value through profit or loss,20231231,1431394000000.0
ifrs-full_InvestmentAccountedForUsingEquityMethod,관계기업 및 공동기업 투자,Investments in associates and joint ventures,20231231,11767444000000.0
ifrs-full_PropertyPlantAndEquipment,유형자산,"Property, plant and equipment",20231231,187256262000000.0
ifrs-full_IntangibleAssetsAndGoodwill,무형자산,Intangible assets,20231231,22741862000000.0
ifrs-full_NoncurrentRecognisedAssetsDefinedBenefitPlan,순확정급여자산,Net defined benefit assets,20231231,4905219000000.0
ifrs-full_DeferredTaxAssets,이연법인세자산,Deferred income tax assets,20231231,10211797000000.0
ifrs-full_OtherNoncurrentAssets,기타비유동자산,Other non-current assets,20231231,14174148000000.0
ifrs-full_Assets,자산총계,Total assets,20231231,455905980000000.0
ifrs-full_CurrentLiabilities,유동부채,Current liabilities,20231231,75719452000000.0
ifrs-full_TradeAndOtherCurrentPayablesToTradeSuppliers,매입채무,Trade payables,20231231,11319824000000.0
entity00126380_CurrentLoansReceivedOfCurrentLiabilities,단기차입금,Current loans received,20231231,7114601000000.0
ifrs-full_OtherCurrentPayables,미지급금,Other payables,20231231,15324119000000.0
ifrs-full_CurrentAdvances,선수금,Advances received,20231231,1492602000000.0
