index,"[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)","[D520000] 현금흐름표, 간접법 - 연결 | Statement of cash flows, indirect method - Consolidated financial statements (Unit: KRW)",20240101-20241231,20230101-20231231,20220101-20221231,20210101-20211231
,concept_id,label_ko,label_en,class0,class1,class2,class3,"('연결재무제표',)","('연결재무제표',)","('연결재무제표',)","('연결재무제표',)"
0,ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,현금흐름표 [개요],영업활동현금흐름,,,72982621000000.0,44137427000000.0,62181346000000.0,65105448000000.0
1,ifrs-full_CashFlowsFromUsedInOperations,영업에서 창출된 현금흐름,Cash flows from (used in) operations,현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,,75830873000000.0,46547889000000.0,71728568000000.0,72676199000000.0
2,ifrs-full_ProfitLoss,당기순이익,Profit,현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,당기순이익,34451351000000.0,15487100000000.0,55654077000000.0,39907450000000.0
3,ifrs-full_AdjustmentsForReconcileProfitLoss,조정,Adjustments to reconcile profit (loss),현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,조정,42947079000000.0,36519534000000.0,33073439000000.0,49055633000000.0
4,dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산부채의 변동,Adjustments for assets and liabilities of operating activities,현금흐름표 [개요],영업활동현금흐름,영업에서 창출된 현금흐름,영업활동으로 인한 자산부채의 변동,-1567557000000.0,-5458745000000.0,-16998948000000.0,-16286884000000.0
5,ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,현금흐름표 [개요],영업활동현금흐름,이자의 수취,,4008359000000.0,4786010000000.0,2136795000000.0,1406706000000.0
6,ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,현금흐름표 [개요],영업활동현금흐름,이자의 지급,,-675049000000.0,-844691000000.0,-714543000000.0,-434441000000.0
7,ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,Dividends received,현금흐름표 [개요],영업활동현금흐름,배당금 수입,,268482000000.0,269169000000.0,529421000000.0,299033000000.0
8,ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액,Income taxes paid,현금흐름표 [개요],영업활동현금흐름,법인세 납부액,,-6450044000000.0,-6620950000000.0,-11498895000000.0,-8842049000000.0
9,ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,현금흐름표 [개요],투자활동현금흐름,,,-85381702000000.0,-16922817000000.0,-31602804000000.0,-33047763000000.0
10,entity00126380_NetDecreaseIncreaseInShortTermFinancialInstrumentsOfCashFlowsFromUsedInInvestingActivities,단기금융상품의 순감소(증가),Net decrease (increase) in short-term financial instruments,현금흐름표 [개요],투자활동현금흐름,단기금융상품의 순감소(증가),,-32976756000000.0,39421565000000.0,15214321000000.0,10917128000000.0
11,entity00126380_NetDecreaseIncreaseInShortTermFinancialAssetsAtAmortizedCostOfCashFlowsFromUsedInInvestingActivities,단기상각후원가금융자산의 순감소(증가),Net decrease (increase) in short-term financial assets at amortized cost,현금흐름표 [개요],투자활동현금흐름,단기상각후원가금융자산의 순감소(증가),,620858000000.0,-195616000000.0,3050104000000.0,-336959000000.0
