concept_id,label_ko,label_en,report_date,value
concept_id,label_ko,label_en,20240101-20241231,"('연결재무제표',)"
ifrs-full_CashFlowsFromUsedInOperatingActivities,영업활동현금흐름,Cash flows from (used in) operating activities,20240101-20241231,72982621000000.0
ifrs-full_CashFlowsFromUsedInOperations,영업에서 창출된 현금흐름,Cash flows from (used in) operations,20240101-20241231,75830873000000.0
ifrs-full_ProfitLoss,당기순이익,Profit,20240101-20241231,34451351000000.0
ifrs-full_AdjustmentsForReconcileProfitLoss,조정,Adjustments to reconcile profit (loss),20240101-20241231,42947079000000.0
dart_AdjustmentsForAssetsLiabilitiesOfOperatingActivities,영업활동으로 인한 자산부채의 변동,Adjustments for assets and liabilities of operating activities,20240101-20241231,-1567557000000.0
ifrs-full_InterestReceivedClassifiedAsOperatingActivities,이자의 수취,Interest received,20240101-20241231,4008359000000.0
ifrs-full_InterestPaidClassifiedAsOperatingActivities,이자의 지급,Interest paid,20240101-20241231,-675049000000.0
ifrs-full_DividendsReceivedClassifiedAsOperatingActivities,배당금 수입,Dividends received,20240101-20241231,268482000000.0
ifrs-full_IncomeTaxesPaidRefundClassifiedAsOperatingActivities,법인세 납부액,Income taxes paid,20240101-20241231,-6450044000000.0
ifrs-full_CashFlowsFromUsedInInvestingActivities,투자활동현금흐름,Cash flows from (used in) investing activities,20240101-20241231,-85381702000000.0
entity00126380_NetDecreaseIncreaseInShortTermFinancialInstrumentsOfCashFlowsFromUsedInInvestingActivities,단기금융상품의 순감소(증가),Net decrease (increase) in short-term financial instruments,20240101-20241231,-32976756000000.0
entity00126380_NetDecreaseIncreaseInShortTermFinancialAssetsAtAmortizedCostOfCashFlowsFromUsedInInvestingActivities,단기상각후원가금융자산의 순감소(증가),Net decrease (increase) in short-term financial assets at amortized cost,20240101-20241231,620858000000.0
entity00126380_NetDecreaseIncreaseInShortTermFinancialAssetsAtFairValueThroughProfitOrLossOfCashFlowsFromUsedInInvestingActivities,단기당기손익-공정가치금융자산의 순감소(증가),Net decrease (increase) in short-term financial assets at fair value through profit or loss,20240101-20241231,-9735000000.0
dart_ProceedsFromSalesOfLongTermFinancialInstruments,장기금융상품의 처분,Disposal of long-term financial instruments,20240101-20241231,4100008000000.0
dart_PurchaseOfLongTermFinancialInstruments,장기금융상품의 취득,Acquisition of long-term financial instruments,20240101-20241231,-3987279000000.0
dart_ProceedsFromSalesOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산의 처분,Disposal of financial assets at fair value through other comprehensive income,20240101-20241231,389680000000.0
dart_PurchaseOfFinancialAssetsAtFairValueThroughOtherComprehensiveIncome,기타포괄손익-공정가치금융자산의 취득,Acquisition of financial assets at fair value through other comprehensive income,20240101-20241231,-185876000000.0
dart_ProceedsFromSalesOfFairValueFinancialAsset,당기손익-공정가치금융자산의 처분,Disposal of financial assets at fair value through profit or loss,20240101-20241231,309970000000.0
dart_PurchaseOfFairValueFinancialAsset,당기손익-공정가치금융자산의 취득,Acquisition of financial assets at fair value through profit or loss,20240101-20241231,-70982000000.0
ifrs-full_ProceedsFromSalesOfInvestmentsAccountedForUsingEquityMethod,관계기업 및 공동기업 투자의 처분,Disposal of investment in associates and joint ventures,20240101-20241231,33178000000.0
